,cancerType
samp1_9e48519f_65ef_433a_8161_8a77a655f897_LECA,LECA
samp2_ee4780b4_6580_4d8a_aa74_5b156715f610_LECA,LECA
samp3_a4553973_064f_40ee_b117_71d43129cd62_COCA,COCA
samp4_fa6103cb_1944_4979_8abf_ceb1d83fa62d_LUCA,LUCA
samp5_ed108cc1_3b34_4ee5_b029_48b80ccaae19_BRCA,BRCA
samp6_a91d5fcc_9e0d_4255_a26b_db9d1a6a4ae2_LECA,LECA
samp7_f20a59bb_fd89_4683_b1d4_6bd44c57fdb1_LECA,LECA
samp8_e1cfed22_6157_4030_971a_8a9fa033aa8d_KICA,KICA
samp9_0580e6cb_a508_4f1f_a8cf_f60b96965776_LECA,LECA
samp10_ac0088c3_a75a_4047_b03b_cba3d4362409_LECA,LECA
samp11_c1dfdc09_ba3c_4a1c_b1b1_5738e7d2d90e_LECA,LECA
samp12_ac8fc9ca_ec12_4312_9d2c_13c131632c01_LECA,LECA
samp13_f06c5504_e66a_41e6_b0b6_fa20936288a2_COCA,COCA
samp14_e335d3fe_4eb7_4aec_9ffc_38e31503b907_LUCA,LUCA
samp15_f1543bac_5876_406f_9c2d_9e21399ece17_BRACA,BRACA
samp16_842e2b5b_cdfc_4906_adf6_f8cf615cceca_LECA,LECA
samp17_0e7f5326_458e_4849_822d_b0d4e7684949_LECA,LECA
samp18_7701440f_17b4_47da_a070_d11afd94e9ae_LUCA,LUCA
samp19_4d347bfa_eb25_4e9d_9594_4e1d99545678_COCA,COCA
samp20_db34f284_7978_46fd_8fa4_3330ac51ae09_LECA,LECA
samp21_8a31c02d_a429_4d4e_a461_8024bea95b1a_KICA,KICA
samp22_1aa3827d_497a_4b8b_aab1_d9455b4eab8f_KICA,KICA
samp23_989be8ad_bf70_41f1_90cf_c6ead96968c4_LECA,LECA
samp24_83834ecf_bc98_416a_98c0_824229e6cfe0_BRCA,BRCA
samp25_bdfda54b_870e_43cc_be57_57e2ef932c46_LECA,LECA
samp26_0a1392e8_8795_443d_a8c9_b64f4bbf51d9_LECA,LECA
samp27_954319c6_e46e_4915_a026_5c5b2629183b_BRCA,BRCA
samp28_73559b1e_ad93_432f_a7bb_c3946d4120d4_LUCA,LUCA
samp29_cc72816d_0fda_4b26_95a5_8b6aae24c7d7_LECA,LECA
samp30_1cf381ba_62a0_4139_bf37_ab609eac00f5_LECA,LECA
